title,author,narrator,length,release_date,language,ratings
Paris,Paris Hilton,Paris Hilton,8 hrs and 22 mins,03-14-23,English,5
The Hobbit,J. R. R. Tolkien,Andy Serkis,10 hrs and 25 mins,09-21-20,English,5
A Court of Wings and Ruin,Sarah J. Maas,Amanda Leigh Cobb,25 hrs and 9 mins,05-02-17,English,5
Extreme Ownership,"Jocko Willink, Leif Babin","Jocko Willink, Leif Babin",9 hrs and 33 mins,10-19-15,English,5
"Poverty, by America",Matthew Desmond,Dion Graham,5 hrs and 40 mins,03-21-23,English,4
The Silent Patient,Alex Michaelides,"Jack Hawkins, Louise Brealey",8 hrs and 51 mins,02-05-19,English,4.5
Pineapple Street,Jenny Jackson,Marin Ireland,8 hrs and 32 mins,03-07-23,English,3.5
Things We Hide from the Light,Lucy Score,"Lila Winters, Sebastian York",17 hrs and 36 mins,02-21-23,English,4.5
Haunting Adeline,H. D. Carlton,"Teddy Hamilton, Michelle Sparks",15 hrs and 44 mins,08-29-22,English,4.5
The Boys from Biloxi,John Grisham,Michael Beck,17 hrs and 22 mins,10-18-22,English,4.5
Where the Crawdads Sing,Delia Owens,Cassandra Campbell,12 hrs and 12 mins,08-14-18,English,5
The Nightingale,Kristin Hannah,Polly Stone,17 hrs and 19 mins,02-03-15,English,5
Think and Grow Rich,Napoleon Hill,Erik Synnestvedt,9 hrs and 35 mins,10-16-07,English,4.5
The Housemaid's Secret,Freida McFadden,Lauryn Allman,9 hrs and 44 mins,02-20-23,English,4.5
The Fellowship of the Ring,J. R. R. Tolkien,Andy Serkis,22 hrs and 38 mins,09-16-21,English,5
Rich Dad Poor Dad: 20th Anniversary Edition,Robert T. Kiyosaki,Tom Parks,8 hrs and 22 mins,05-14-19,English,5
Atlas of the Heart,Brené Brown,Brené Brown,8 hrs and 29 mins,02-14-22,English,5
The Maid,Nita Prose,Lauren Ambrose,9 hrs and 37 mins,01-04-22,English,4.5
Catching Fire,Suzanne Collins,Tatiana Maslany,11 hrs and 3 mins,06-17-19,English,5
Dune,Frank Herbert,"Scott Brick, Orlagh Cassidy, Euan Morton, Simon Vance, Ilyana Kadushin, Byron Jennings, David R. Gordon, Jason Culp, Kent Broadhurst, Oliver Wyman, Patricia Kilgarriff, Scott Sowers",21 hrs and 2 mins,12-31-06,English,4.5
A Court of Silver Flames,Sarah J. Maas,Stina Nielsen,26 hrs and 5 mins,02-16-21,English,4.5
Shadow and Bone,Leigh Bardugo,Lauren Fortgang,9 hrs and 21 mins,11-30-12,English,4.5
I Have Some Questions for You,Rebecca Makkai,"Julia Whelan, JD Jackson",14 hrs and 4 mins,02-21-23,English,4
